Time,T_Charge_Inlet.T,T_charge_outlet.T,T_discharge_Inlet.T,T_discharge_outlet.T,thermocline_Insulation.port_a.m_flow,thermocline_Insulation.port_b.m_flow,pipe2.port_a.p,pipe2.port_b.p,chromoloxHeater_Power.y,sensor_T.T,Chromolox_exit_temperature.T
0,496.37216186523438,496.905517578125,496.905517578125,496.37216186523438,0,0,18000,18000,200000,498.14999389648438,498.14999389648438
1.4821572449363885e-06,496.90615844726563,496.9049072265625,496.90481567382813,496.90615844726563,0,0,18000,17364.611328125,200000,498.15005493164063,498.1500244140625
1.4821572449363885e-06,496.90615844726563,496.9049072265625,496.90481567382813,496.90615844726563,0,0,18000,17364.611328125,200000,498.15005493164063,498.1500244140625
10,499.01962280273438,492.4962158203125,486.04522705078125,499.01962280273438,0,0,18000.185546875,17261.60546875,200000,479.20071411132813,556.6453857421875
20,503.51473999023438,498.27536010742188,493.1387939453125,503.51473999023438,0,0,18006.822265625,17275.154296875,200000,482.43148803710938,574.3868408203125
20,503.51473999023438,498.27536010742188,493.1387939453125,503.51473999023438,0,0,18006.822265625,17275.154296875,200000,482.43148803710938,574.3868408203125
30,508.3880615234375,504.12646484375,499.9654541015625,508.3880615234375,0,0,18013.46875,17282.185546875,200000,495.16159057617188,580.1983642578125
40,513.306396484375,507.7593994140625,502.31600952148438,513.306396484375,0,0,18019.634765625,17288.380859375,200000,498.04092407226563,590.07708740234375
50,518.340576171875,511.13778686523438,504.037353515625,518.340576171875,0,0,18025.3359375,17294.087890625,200000,498.18109130859375,595.6353759765625
60,523.176513671875,514.36944580078125,505.65774536132813,523.176513671875,0,0,18030.509765625,17299.232421875,200000,498.19717407226563,597.2994384765625
70,527.637939453125,517.3507080078125,507.15017700195313,527.637939453125,0,0,18035.20703125,17303.892578125,200000,498.2052001953125,597.70208740234375
80,531.70257568359375,520.06689453125,508.50958251953125,531.70257568359375,0,0,18039.474609375,17308.126953125,200000,498.20849609375,597.79400634765625
90,535.39337158203125,522.533203125,509.74383544921875,535.39337158203125,0,0,18043.353515625,17311.974609375,200000,498.21243286132813,597.84173583984375
100,538.7423095703125,524.77020263671875,510.86215209960938,538.7423095703125,0,0,18046.875,17315.466796875,200000,498.213134765625,597.8773193359375
110,541.78411865234375,526.80169677734375,511.87722778320313,541.78411865234375,0,0,18050.072265625,17318.638671875,200000,498.21212768554688,597.91033935546875
120,544.5455322265625,528.6456298828125,512.79815673828125,544.5455322265625,0,0,18052.974609375,17321.517578125,200000,498.2098388671875,597.9393310546875
130,547.04638671875,530.31524658203125,513.631591796875,547.04638671875,0,0,18055.603515625,17324.123046875,200000,498.20684814453125,597.96417236328125
140,549.31878662109375,531.83221435546875,514.388671875,549.31878662109375,0,0,18057.990234375,17326.490234375,200000,498.20391845703125,597.98541259765625
150,551.38995361328125,533.21490478515625,515.0787353515625,551.38995361328125,0,0,18060.1640625,17328.6484375,200000,498.2010498046875,598.004150390625
160,553.27325439453125,534.4720458984375,515.7060546875,553.27325439453125,0,0,18062.138671875,17330.607421875,200000,498.1982421875,598.0206298828125
170,554.98193359375,535.612548828125,516.27508544921875,554.98193359375,0,0,18063.9296875,17332.384765625,200000,498.19537353515625,598.03497314453125
180,556.529296875,536.645263671875,516.79022216796875,556.529296875,0,0,18065.5546875,17333.99609375,200000,498.19244384765625,598.04736328125
190,557.92596435546875,537.57733154296875,517.25494384765625,557.92596435546875,0,0,18067.0234375,17335.451171875,200000,498.18939208984375,598.0579833984375
200,559.17242431640625,538.40887451171875,517.66925048828125,559.17242431640625,0,0,18068.333984375,17336.75,200000,498.18609619140625,598.0672607421875
210,560.32232666015625,539.176025390625,518.05145263671875,560.32232666015625,0,0,18069.541015625,17337.947265625,200000,498.18304443359375,598.07574462890625
220,561.37994384765625,539.88165283203125,518.4029541015625,561.37994384765625,0,0,18070.650390625,17339.046875,200000,498.18026733398438,598.08343505859375
230,562.349853515625,540.5286865234375,518.72528076171875,562.349853515625,0,0,18071.6640625,17340.0546875,200000,498.17767333984375,598.09033203125
240,563.23638916015625,541.1201171875,519.01995849609375,563.23638916015625,0,0,18072.591796875,17340.9765625,200000,498.17532348632813,598.09649658203125
250,564.04400634765625,541.6588134765625,519.28826904296875,564.04400634765625,0,0,18073.4375,17341.814453125,200000,498.17315673828125,598.10198974609375
260,564.777099609375,542.14788818359375,519.5318603515625,564.777099609375,0,0,18074.203125,17342.576171875,200000,498.171142578125,598.1068115234375
270,565.44012451171875,542.590087890625,519.7520751953125,565.44012451171875,0,0,18074.896484375,17343.265625,200000,498.16928100585938,598.111083984375
280,566.0374755859375,542.988525390625,519.95050048828125,566.0374755859375,0,0,18075.5234375,17343.884765625,200000,498.16754150390625,598.11468505859375
290,566.57354736328125,543.3460693359375,520.12847900390625,566.57354736328125,0,0,18076.0859375,17344.443359375,200000,498.1658935546875,598.11785888671875
300,567.052734375,543.6656494140625,520.2874755859375,567.052734375,0,0,18076.58984375,17344.943359375,200000,498.16436767578125,598.1204833984375
310,567.47955322265625,543.9501953125,520.4290771484375,567.47955322265625,0,0,18077.041015625,17345.388671875,200000,498.16287231445313,598.12261962890625
320,567.848388671875,544.196044921875,520.55126953125,567.848388671875,0,0,18077.4296875,17345.775390625,200000,498.16146850585938,598.12451171875
330,568.18011474609375,544.41717529296875,520.6611328125,568.18011474609375,0,0,18077.779296875,17346.12109375,200000,498.16018676757813,598.1263427734375
340,568.49188232421875,544.625,520.76434326171875,568.49188232421875,0,0,18078.10546875,17346.4453125,200000,498.15896606445313,598.1280517578125
350,568.7843017578125,544.81988525390625,520.86114501953125,568.7843017578125,0,0,18078.412109375,17346.748046875,200000,498.15780639648438,598.12969970703125
360,569.0579833984375,545.00225830078125,520.95172119140625,569.0579833984375,0,0,18078.69921875,17347.033203125,200000,498.15673828125,598.13116455078125
370,569.31341552734375,545.1724853515625,521.03631591796875,569.31341552734375,0,0,18078.966796875,17347.298828125,200000,498.15576171875,598.132568359375
380,569.55126953125,545.3309326171875,521.114990234375,569.55126953125,0,0,18079.216796875,17347.546875,200000,498.15481567382813,598.13385009765625
390,569.77203369140625,545.47802734375,521.18798828125,569.77203369140625,0,0,18079.447265625,17347.775390625,200000,498.15396118164063,598.13507080078125
400,569.976318359375,545.61419677734375,521.25555419921875,569.976318359375,0,0,18079.662109375,17347.98828125,200000,498.15316772460938,598.13616943359375
410,570.16473388671875,545.73968505859375,521.31787109375,570.16473388671875,0,0,18079.859375,17348.18359375,200000,498.1524658203125,598.13714599609375
420,570.33782958984375,545.85504150390625,521.37506103515625,570.33782958984375,0,0,18080.0390625,17348.365234375,200000,498.15179443359375,598.13812255859375
430,570.4962158203125,545.96051025390625,521.4273681640625,570.4962158203125,0,0,18080.205078125,17348.529296875,200000,498.15118408203125,598.138916015625
440,570.64044189453125,546.0565185546875,521.4749755859375,570.64044189453125,0,0,18080.357421875,17348.6796875,200000,498.150634765625,598.13970947265625
450,570.77105712890625,546.14349365234375,521.51806640625,570.77105712890625,0,0,18080.494140625,17348.814453125,200000,498.150146484375,598.140380859375
460,570.888671875,546.2218017578125,521.55682373046875,570.888671875,0,0,18080.6171875,17348.9375,200000,498.14968872070313,598.1409912109375
470,570.99383544921875,546.2918701171875,521.59149169921875,570.99383544921875,0,0,18080.7265625,17349.046875,200000,498.1492919921875,598.14154052734375
480,571.087158203125,546.35394287109375,521.6221923828125,571.087158203125,0,0,18080.82421875,17349.14453125,200000,498.14892578125,598.14202880859375
490,571.16925048828125,546.4085693359375,521.649169921875,571.16925048828125,0,0,18080.912109375,17349.23046875,200000,498.14862060546875,598.14239501953125
500,571.2406005859375,546.4560546875,521.672607421875,571.2406005859375,0,0,18080.986328125,17349.3046875,200000,498.14834594726563,598.14276123046875
510,571.3018798828125,546.49676513671875,521.69268798828125,571.3018798828125,0,0,18081.05078125,17349.369140625,200000,498.14813232421875,598.14300537109375
520,571.35357666015625,546.5311279296875,521.7095947265625,571.35357666015625,0,0,18081.10546875,17349.421875,200000,498.14791870117188,598.14324951171875
530,571.3963623046875,546.5594482421875,521.7235107421875,571.3963623046875,0,0,18081.15234375,17349.466796875,200000,498.14776611328125,598.1434326171875
540,571.43072509765625,546.582275390625,521.73468017578125,571.43072509765625,0,0,18081.189453125,17349.50390625,200000,498.14761352539063,598.1435546875
550,571.457275390625,546.599853515625,521.74322509765625,571.457275390625,0,0,18081.216796875,17349.533203125,200000,498.14752197265625,598.14361572265625
560,571.47662353515625,546.61260986328125,521.74932861328125,571.47662353515625,0,0,18081.23828125,17349.5546875,200000,498.14743041992188,598.1436767578125
570,571.494140625,546.6241455078125,521.7548828125,571.494140625,0,0,18081.2578125,17349.572265625,200000,498.1473388671875,598.14373779296875
580,571.51873779296875,546.64044189453125,521.76275634765625,571.51873779296875,0,0,18081.28515625,17349.599609375,200000,498.14724731445313,598.14385986328125
590,571.5423583984375,546.656005859375,521.77032470703125,571.5423583984375,0,0,18081.30859375,17349.623046875,200000,498.14712524414063,598.14398193359375
600,571.56500244140625,546.67095947265625,521.777587890625,571.56500244140625,0,0,18081.333984375,17349.6484375,200000,498.14703369140625,598.14404296875
610,571.586669921875,546.685302734375,521.78448486328125,571.586669921875,0,0,18081.357421875,17349.669921875,200000,498.14694213867188,598.1441650390625
620,571.60748291015625,546.69903564453125,521.79107666015625,571.60748291015625,0,0,18081.37890625,17349.693359375,200000,498.1468505859375,598.144287109375
630,571.6273193359375,546.712158203125,521.79742431640625,571.6273193359375,0,0,18081.400390625,17349.712890625,200000,498.14675903320313,598.1444091796875
640,571.64630126953125,546.72467041015625,521.803466796875,571.64630126953125,0,0,18081.419921875,17349.734375,200000,498.14666748046875,598.14447021484375
650,571.66436767578125,546.736572265625,521.80914306640625,571.66436767578125,0,0,18081.439453125,17349.75390625,200000,498.14657592773438,598.14459228515625
660,571.681640625,546.7479248046875,521.81463623046875,571.681640625,0,0,18081.458984375,17349.771484375,200000,498.14651489257813,598.1446533203125
670,571.697998046875,546.75872802734375,521.81976318359375,571.697998046875,0,0,18081.4765625,17349.7890625,200000,498.14642333984375,598.14471435546875
680,571.71356201171875,546.76898193359375,521.82464599609375,571.71356201171875,0,0,18081.4921875,17349.8046875,200000,498.1463623046875,598.14483642578125
690,571.72833251953125,546.7786865234375,521.82928466796875,571.72833251953125,0,0,18081.5078125,17349.8203125,200000,498.14630126953125,598.1448974609375
700,571.74224853515625,546.787841796875,521.8336181640625,571.74224853515625,0,0,18081.5234375,17349.8359375,200000,498.146240234375,598.14495849609375
710,571.75543212890625,546.79644775390625,521.83770751953125,571.75543212890625,0,0,18081.537109375,17349.849609375,200000,498.14617919921875,598.14501953125
720,571.767822265625,546.8045654296875,521.841552734375,571.767822265625,0,0,18081.55078125,17349.86328125,200000,498.1461181640625,598.14508056640625
730,571.77947998046875,546.812255859375,521.84515380859375,571.77947998046875,0,0,18081.564453125,17349.875,200000,498.14605712890625,598.1451416015625
740,571.7904052734375,546.81939697265625,521.8485107421875,571.7904052734375,0,0,18081.576171875,17349.88671875,200000,498.14599609375,598.14520263671875
750,571.80059814453125,546.8260498046875,521.85162353515625,571.80059814453125,0,0,18081.5859375,17349.8984375,200000,498.14596557617188,598.145263671875
760,571.81011962890625,546.83221435546875,521.8544921875,571.81011962890625,0,0,18081.59765625,17349.908203125,200000,498.14590454101563,598.14532470703125
770,571.81890869140625,546.83795166015625,521.85711669921875,571.81890869140625,0,0,18081.607421875,17349.91796875,200000,498.1458740234375,598.14532470703125
780,571.8270263671875,546.84326171875,521.85955810546875,571.8270263671875,0,0,18081.615234375,17349.927734375,200000,498.14584350585938,598.1453857421875
790,571.83453369140625,546.84814453125,521.86175537109375,571.83453369140625,0,0,18081.623046875,17349.935546875,200000,498.14581298828125,598.14544677734375
